,timestamp,acc_x,acc_y,acc_z
357,1663314881841,3.5847473,-12.2787695,0.8383852
358,1663314881841,3.6684961,-12.120843,1.2550355
359,1663314881846,3.6541393,-11.967403,1.6163517
360,1663314881846,3.563212,-11.835798,1.9348962
361,1663314881851,3.455535,-11.737693,2.2387848
362,1663314881851,3.318845,-11.716157,2.4472594
363,1663314881856,3.1896327,-11.692228,2.5692933
364,1663314881856,3.0795627,-11.730514,2.6362925
365,1663314881861,2.952743,-11.787942,2.71047
366,1663314881861,2.804089,-11.847762,2.6602206
367,1663314881865,2.6892335,-11.869298,2.559722
368,1663314881866,2.5432713,-11.883655,2.41376
369,1663314881871,2.3374887,-11.871691,2.2316062
370,1663314881871,2.1050856,-11.826227,1.9899311
371,1663314881875,1.8562322,-11.787942,1.7338991
372,1663314881876,1.6022938,-11.706586,1.5230316
373,1663314881881,1.3342978,-11.656337,1.3076776
374,1663314881881,1.0420742,-11.572588,1.044168
375,1663314881886,0.87218386,-11.510374,0.8383852
376,1663314881886,0.802792,-11.460125,0.70678
377,1663314881891,0.67836523,-11.411969,0.56769717
378,1663314881891,0.5033901,-11.3162565,0.47198427
379,1663314881895,0.3909274,-11.246864,0.51266223
380,1663314881896,0.39571303,-11.232508,0.5509474
381,1663314881901,0.34785658,-11.17508,0.64217377
382,1663314881902,0.3574279,-11.141581,0.75463647
383,1663314881906,0.517747,-11.136795,0.8455637
384,1663314881906,0.5799604,-11.143973,0.86231345
385,1663314881910,0.70947194,-11.055439,0.9197412
386,1663314881910,0.70947194,-10.921441,0.9771689
387,1663314881915,0.762114,-10.827822,1.0106685
388,1663314881915,0.7932207,-10.660324,1.015454
389,1663314881920,0.8673982,-10.526326,1.0010972
390,1663314881921,1.0253245,-10.413863,0.90538424
391,1663314881925,1.0875379,-10.299007,0.84077805
392,1663314881925,1.2481561,-10.262816,0.7618149
393,1663314881931,1.410868,-10.195817,0.63978094
394,1663314881931,1.3510475,-10.143175,0.5557331
395,1663314881935,1.2816557,-10.061819,0.50787663
396,1663314881935,1.4659029,-10.009177,0.36430725
397,1663314881941,1.5400804,-9.954143,0.30209386
398,1663314881941,1.5711871,-9.891929,0.25902304
399,1663314881945,1.6860427,-9.829716,0.1274178
400,1663314881945,1.5903298,-9.690633,0.11545369
