"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.945216201E0,-4.162923992E-1,-1.018282413E0,-7.108734846E-1
5.964987399E0,-4.611896724E-2,-3.408527672E-1,-1.062110662E0
5.984757034E0,2.904578745E-1,1.026223376E-1,-1.212989926E0
6.004528232E0,9.686510563E-1,3.536805511E-1,-1.096928954E0
6.024297816E0,1.999761224E0,3.585673273E-1,-7.383615971E-1
6.044069066E0,3.410207510E0,-1.142284349E-1,-2.574721277E-1
6.063838649E0,4.196367741E0,-1.018282413E0,3.826957941E-1
6.083609847E0,4.153608799E0,-1.418998241E0,9.477295280E-1
6.103379482E0,3.669817686E0,-3.035911024E-1,1.404643297E0
6.123150680E0,3.192745924E0,4.776825607E-1,1.500546336E0
6.142920264E0,3.069354773E0,2.076880634E-1,1.222610831E0
6.162691514E0,3.080349922E0,-8.991671801E-1,1.597671032E0
6.182461097E0,2.925805569E0,-1.662726283E0,1.795585513E0
6.202232295E0,2.561129808E0,-2.337712526E0,1.437018156E0
6.222001930E0,2.456064224E0,-2.588770628E0,1.145033240E0
6.241773128E0,2.606332541E0,-2.238755226E0,1.181073189E0
6.261542764E0,2.721782684E0,-2.583273172E0,1.104717255E0
6.281313961E0,2.841508627E0,-3.097759247E0,9.220739603E-1
6.301083545E0,2.383373260E0,-2.761029720E0,6.826218367E-1
6.320854743E0,1.526965380E0,-1.886296391E0,6.814001203E-1
6.340624378E0,7.463026643E-1,-1.262010455E0,6.380299330E-1
6.360395576E0,3.289412558E-1,-6.591041684E-1,7.174401283E-1
6.380165211E0,2.507528067E-1,-2.327328026E-1,9.000834227E-1
6.399936409E0,1.566823274E-1,-4.697415531E-1,9.513946176E-1
6.419705993E0,-1.395785958E-1,-7.159129977E-1,7.937960029E-1
6.439477243E0,-6.080984473E-1,-5.949652195E-1,5.818319917E-1
6.459246826E0,-8.536590338E-1,-2.950392365E-1,4.657710493E-1
6.479018024E0,-6.997255087E-1,-4.703523964E-2,6.080984473E-1
6.498787659E0,-3.106158376E-1,-5.741964281E-2,9.684983492E-1
6.518558857E0,-2.538070381E-1,-1.337755471E-1,1.162747741E0
6.538328493E0,3.344388604E-1,8.057075143E-1,1.076618314E0
6.558099691E0,3.388827801E0,8.191461563E-1,-1.049893737E0
6.577869274E0,-1.314848781E0,1.131289124E0,-9.865183383E-2
6.597640524E0,-1.983115673E0,-1.842926145E0,-1.388303161E0
6.617410107E0,7.971556485E-2,-4.471401870E-1,-1.851325274E0
6.637181357E0,-3.151666403E0,4.414745808E0,6.383354217E-2
6.656950941E0,-4.274403572E0,4.948015690E0,-4.211791754E-1
6.676722191E0,-2.901829958E0,2.054890156E0,2.739650011E-1
6.696491774E0,-3.069813013E0,1.129456639E0,2.071077585E0
6.716263024E0,-3.665999889E0,1.696322799E0,2.379555464E0
6.736032607E0,-3.769232988E0,2.852809429E0,1.653258085E0
6.755803805E0,-3.788169384E0,3.056832314E0,2.293731421E-1
6.775573441E0,-2.992846251E0,2.138576269E0,-1.141520858E0
6.795344639E0,-2.242114782E0,1.290720224E0,-1.550177574E0
6.815114274E0,-2.389939785E0,1.402505279E0,-6.284091473E-1
6.834885472E0,-2.466295719E0,1.390899181E0,-7.177454978E-2
6.854655107E0,-2.365505934E0,1.075702071E0,-2.702999115E-1
6.874426305E0,-2.405822039E0,2.247917950E-1,-4.621059597E-1
6.894195941E0,-2.036870241E0,-5.607577562E-1,-5.758762360E-1
6.913967139E0,-1.872552276E0,-5.961869359E-1,-8.037222624E-1
6.933736774E0,-1.849950910E0,1.478250325E-1,-1.012021184E0
6.953507972E0,-1.141978979E0,1.588202827E-2,-9.368869662E-1
6.973277607E0,-8.090671897E-1,5.442649126E-1,-5.862606764E-1
6.993048805E0,-6.343649030E-1,1.246128440E0,-3.967452943E-1
7.012818441E0,-5.467082933E-2,1.204590797E0,-5.343386531E-1
7.032589639E0,6.760551929E-1,9.095515609E-1,-2.531961799E-1
7.052359274E0,1.732820988E0,1.240019947E-1,4.944808483E-1
7.072130524E0,2.850060701E0,-3.665083647E-2,1.011257648E0
7.091900107E0,3.241613626E0,3.017585576E-1,1.102273822E0
7.111671357E0,3.765109777E0,4.001049399E-1,9.013051391E-1
7.131440941E0,4.162160397E0,8.197570443E-1,1.002094984E0
7.151212191E0,3.641718626E0,1.657228589E0,7.656970620E-1
7.170981774E0,2.905036926E0,8.936695457E-1,1.005759954E0
7.190753024E0,2.832956791E0,-1.018282413E0,1.614163876E0
7.210522607E0,2.923362255E0,-2.054279327E0,1.308740258E0
7.230293857E0,2.817685604E0,-2.233257532E0,7.473716140E-1
7.250063441E0,3.062635422E0,-1.900956631E0,6.905628443E-1
7.269834691E0,3.408375025E0,-2.411624908E0,4.052971601E-1
7.289604326E0,3.124330997E0,-2.093984365E0,-4.734066129E-2
7.309375524E0,2.081614733E0,-1.433658481E0,-7.835643291E-1
7.329145107E0,1.423732281E0,-9.272661209E-1,-8.929060102E-1
7.348916357E0,8.788564801E-1,-1.007897973E0,-7.560762167E-1
7.368685993E0,1.957765520E-1,-1.002400398E0,-7.218687534E-1
7.388457191E0,-1.243074164E-1,-7.757760286E-1,-6.387935281E-1
7.408226826E0,-1.359135211E-1,-2.950392365E-1,-3.057290614E-1
7.427998024E0,-3.741439581E-1,2.144073844E-1,1.133121699E-1
7.447767659E0,-6.429167390E-1,2.626643181E-1,3.478775024E-1
7.467538857E0,-8.408312798E-1,1.233911440E-1,5.335750580E-1
7.487308493E0,-8.933641315E-1,-1.148392856E-1,6.178719997E-1
7.507079691E0,-4.847072959E-1,-8.857285231E-2,3.790307343E-1
7.526849326E0,1.145338640E-1,2.516690791E-1,-7.360709459E-2
7.546620524E0,1.707318127E-1,-5.680879578E-2,-4.523324072E-1
7.566390159E0,3.051182032E-1,-6.401679516E-1,-6.363501549E-1
7.586161357E0,1.083490372E0,-9.584193230E-1,-9.051229358E-1
7.605930993E0,2.202104330E-1,2.462936163E0,-1.126249671E0
7.625702191E0,3.833066523E-1,1.327981949E0,2.275405973E-1
7.645471826E0,-1.646233350E-1,1.206423283E0,4.315635860E-1
7.665243024E0,-6.197045445E-1,-6.884248853E-1,3.393256664E-1
7.685012659E0,-1.441294074E0,1.458703279E0,-3.634541109E-2
7.704783857E0,-3.432656288E0,2.339545012E0,8.338065445E-2
7.724553493E0,-2.294647694E0,5.027272701E-1,-7.482878864E-2
7.744324691E0,-2.586632729E0,8.649597168E-1,5.628957748E-1
7.764094326E0,-3.487021685E0,2.777675152E0,1.215891480E0
